COM:/dev/ttyUSB0@9600 UDP:0.0.0.0:20002 UI:cmd
UDP server up and listening
13:32:24.548811:HA 0.0 HM 0.0 HK 0.0 HC 0.0 HE 0.0 HG 0.0
13:32:24.599097:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.649284:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.699489:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.749667:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.799833:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.850002:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.900168:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:24.950333:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.000493:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.050654:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.100834:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.151076:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.201337:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.251669:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.301967:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.352292:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.402700:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
13:32:25.452976:HA 158.0 HM 223.1634 HK 488.1574 HC 222.0 HE 0.0 HG 0.0
